Mundial,Campeón,Selecciones,Partidos,Goles,Prom. de Gol,Tarjetas,
Mundial,Campeón,Selecciones,Partidos,Goles,Prom. de Gol,Amar.,Rojas
Uruguay 1930,Uruguay Uruguay,13,18,70,3.89,-,-
Italia 1934,Italia Italia,16,17,70,4.12,-,-
Francia 1938,Italia Italia,16,18,84,4.67,-,-
Brasil 1950,Uruguay Uruguay,13,22,88,4,-,-
Suiza 1954,Alemania Alemania,16,26,140,5.38,-,-
Suecia 1958,Brasil Brasil,16,35,126,3.6,-,-
Chile 1962,Brasil Brasil,16,32,89,2.78,-,-
Inglaterra 1966,Inglaterra Inglaterra,16,32,89,2.78,21,5
México 1970,Brasil Brasil,16,32,95,2.97,51,0
Alemania 1974,Alemania Alemania,16,38,97,2.55,87,5
Argentina 1978,Argentina Argentina,16,38,102,2.68,59,3
España 1982,Italia Italia,24,52,146,2.81,99,5
México 1986,Argentina Argentina,24,52,132,2.54,138,8
Italia 1990,Alemania Alemania,24,52,115,2.21,168,16
Estados Unidos 1994,Brasil Brasil,24,52,141,2.71,228,15
Francia 1998,Francia Francia,32,64,171,2.67,254,22
Corea / Japón 2002,Brasil Brasil,32,64,161,2.52,267,16
Alemania 2006,Italia Italia,32,64,147,2.3,323,28
Sudáfrica 2010,España España,32,64,145,2.27,249,16
Brasil 2014,Alemania Alemania,32,64,171,2.67,184,10
Rusia 2018,Francia Francia,32,64,169,2.64,221,4
Catar 2022,Argentina Argentina,32,64,172,2.69,229,6
